Chapter,Method,Q1,Q2,Q3
Chapter 5,B,2,agree,agree
Chapter 5,B,2,agree,neither agree nor disagree
Chapter 5,B,2,agree,disagree
Chapter 5,B,2,agree,neither agree nor disagree
Chapter 5,B,2,agree,disagree
Chapter 5,B,2,agree,disagree
Chapter 5,B,2,agree,disagree
Chapter 5,B,2,agree,disagree strongly
Chapter 5,B,2,agree,disagree
Chapter 5,B,2,agree,disagree
Chapter 5,B,2,agree,disagree
Chapter 5,B,2,agree,disagree strongly
Chapter 5,B,2,agree,agree
Chapter 5,B,2,agree,neither agree nor disagree
Chapter 5,B,2,agree,disagree
Chapter 5,B,2,agree,neither agree nor disagree
Chapter 5,B,2,agree,agree
Chapter 5,B,2,agree strongly,disagree
Chapter 5,B,3,agree,disagree
Chapter 5,B,3,agree,agree
Chapter 5,B,3,agree,disagree strongly
Chapter 5,B,3,agree,disagree
Chapter 7,B,3,agree strongly,disagree strongly
Chapter 7,A,1,neither agree nor disagree,neither agree nor disagree
Chapter 7,A,1,neither agree nor disagree,agree
Chapter 7,A,2,disagree,disagree strongly
Chapter 7,A,2,disagree,neither agree nor disagree
Chapter 7,A,2,neither agree nor disagree,disagree
Chapter 7,A,2,neither agree nor disagree,disagree
Chapter 7,A,2,neither agree nor disagree,disagree
Chapter 7,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 7,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 7,A,2,neither agree nor disagree,disagree
Chapter 7,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 7,A,2,neither agree nor disagree,disagree
Chapter 7,A,2,neither agree nor disagree,disagree
Chapter 7,A,2,neither agree nor disagree,disagree strongly
Chapter 7,A,2,neither agree nor disagree,agree
Chapter 7,A,2,agree,disagree
Chapter 7,A,2,agree,disagree
Chapter 7,A,2,agree,disagree
Chapter 7,A,2,agree,disagree strongly
Chapter 7,A,2,agree,disagree
Chapter 7,A,2,agree,neither agree nor disagree
Chapter 7,A,2,agree,neither agree nor disagree
Chapter 7,A,2,agree,neither agree nor disagree
Chapter 7,A,2,agree,disagree
Chapter 7,A,2,agree,disagree
Chapter 7,A,2,agree,neither agree nor disagree
Chapter 7,A,2,agree,disagree
Chapter 7,A,2,agree,disagree
Chapter 7,A,2,agree,disagree
Chapter 7,A,2,agree,disagree
Chapter 7,A,2,agree,disagree
Chapter 7,A,2,agree,neither agree nor disagree
Chapter 7,A,2,agree,disagree
Chapter 7,A,2,agree,disagree
Chapter 7,A,2,agree strongly,disagree strongly
Chapter 7,A,2,agree strongly,disagree
Chapter 7,A,2,agree strongly,disagree strongly
Chapter 7,A,2,agree strongly,disagree
Chapter 7,A,2,agree strongly,neither agree nor disagree
Chapter 7,A,2.5,agree,disagree
Chapter 7,A,3,disagree,disagree strongly
Chapter 7,A,3,neither agree nor disagree,disagree strongly
Chapter 7,A,3,agree,disagree strongly
Chapter 7,A,3,agree,disagree
Chapter 7,A,3,agree,disagree
Chapter 7,A,3,agree,disagree strongly
Chapter 7,A,3,agree,disagree
Chapter 7,A,3,agree,disagree
Chapter 7,A,3,agree,neither agree nor disagree
Chapter 7,A,3,agree,disagree
Chapter 7,A,3,agree,disagree
Chapter 7,A,3,agree,disagree
Chapter 7,A,3,agree,disagree strongly
Chapter 7,A,3,agree strongly,disagree strongly
Chapter 7,A,3,agree strongly,disagree strongly
Chapter 7,B,1,disagree strongly,neither agree nor disagree
Chapter 7,B,1,disagree,agree
Chapter 7,B,1,neither agree nor disagree,agree
Chapter 7,B,1,neither agree nor disagree,disagree
Chapter 7,B,2,disagree strongly,disagree
Chapter 7,B,2,disagree,disagree
Chapter 7,B,2,disagree,disagree
Chapter 7,B,2,neither agree nor disagree,disagree strongly
Chapter 7,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 7,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 7,B,2,neither agree nor disagree,disagree
Chapter 7,B,2,neither agree nor disagree,disagree
Chapter 7,B,2,neither agree nor disagree,disagree
Chapter 7,B,2,neither agree nor disagree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,neither agree nor disagree
Chapter 7,B,2,agree,neither agree nor disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,neither agree nor disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2,agree,disagree
Chapter 7,B,2.5,agree,disagree
Chapter 7,B,3,neither agree nor disagree,disagree
Chapter 7,B,3,neither agree nor disagree,disagree
Chapter 7,B,3,neither agree nor disagree,agree
Chapter 7,B,3,agree,disagree
Chapter 7,B,3,agree,disagree strongly
Chapter 7,B,3,agree,disagree
Chapter 7,B,3,agree,neither agree nor disagree
Chapter 7,B,3,agree,disagree
Chapter 7,B,3,agree,neither agree nor disagree
Chapter 7,B,3,agree,disagree
Chapter 7,B,3,agree,disagree
Chapter 7,B,3,agree,disagree
Chapter 7,B,3,agree strongly,disagree
Chapter 7,B,3,agree strongly,disagree strongly
Chapter 7,B,3,agree strongly,disagree
Chapter 7,B,3,agree strongly,disagree strongly
Chapter 7,B,3,agree strongly,disagree
Chapter 7,B,3,agree strongly,disagree strongly
Chapter 7,B,3,agree strongly,disagree strongly
Chapter 9,A,2,neither agree nor disagree,disagree strongly
Chapter 9,A,2,agree,disagree
Chapter 9,A,3,agree,disagree
Chapter 9,A,2.5,agree,disagree
Chapter 9,A,1,agree,disagree
Chapter 9,A,3,agree strongly,disagree strongly
Chapter 9,A,2,neither agree nor disagree,disagree
Chapter 9,A,3,agree strongly,disagree strongly
Chapter 9,A,3,agree,disagree strongly
Chapter 9,A,2,agree strongly,disagree
Chapter 9,A,2,agree,neither agree nor disagree
Chapter 9,A,2,agree,disagree
Chapter 9,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 9,A,2,agree,disagree
Chapter 9,A,3,agree,disagree
Chapter 9,A,2,agree,disagree
Chapter 9,A,2,agree,disagree
Chapter 9,A,2,neither agree nor disagree,disagree
Chapter 9,A,3,agree,disagree
Chapter 9,A,3,agree,disagree
Chapter 9,A,2,agree,disagree
Chapter 9,A,2,agree,disagree
Chapter 9,A,0,disagree strongly,disagree strongly
Chapter 9,A,2,agree,agree
Chapter 9,A,3,agree,disagree strongly
Chapter 9,A,3,agree strongly,disagree strongly
Chapter 9,A,3,agree,disagree
Chapter 9,A,2,agree,disagree
Chapter 9,A,3,agree,disagree strongly
Chapter 9,A,2,disagree,disagree
Chapter 9,A,2,neither agree nor disagree,disagree
Chapter 9,A,2,agree,neither agree nor disagree
Chapter 9,A,2,agree,agree
Chapter 9,A,3,agree,disagree strongly
Chapter 9,A,2,agree,disagree
Chapter 9,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 9,A,2,agree,disagree
Chapter 9,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 9,A,2,agree,disagree
Chapter 9,A,2,agree,disagree
Chapter 9,A,3,agree,disagree strongly
Chapter 9,A,2,agree,disagree
Chapter 9,A,2,agree,disagree
Chapter 9,A,3,agree strongly,disagree strongly
Chapter 9,A,3,agree,disagree
Chapter 9,A,3,agree,disagree
Chapter 9,A,2,neither agree nor disagree,disagree
Chapter 9,A,3,agree,disagree
Chapter 9,A,2,agree strongly,disagree
Chapter 9,A,1,agree,neither agree nor disagree
Chapter 9,A,2,agree,neither agree nor disagree
Chapter 9,A,2,agree,neither agree nor disagree
Chapter 9,A,2,agree,disagree
Chapter 9,A,2,neither agree nor disagree,disagree
Chapter 9,A,2,agree,disagree
Chapter 9,B,3,neither agree nor disagree,agree
Chapter 9,B,2,neither agree nor disagree,disagree
Chapter 9,B,2,agree,disagree
Chapter 9,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 9,B,3,agree,neither agree nor disagree
Chapter 9,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 9,B,2,neither agree nor disagree,disagree
Chapter 9,B,3,agree strongly,disagree strongly
Chapter 9,B,2,agree,disagree
Chapter 9,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 9,B,2,agree,agree
Chapter 9,B,2,agree,disagree
Chapter 9,B,1,disagree strongly,disagree strongly
Chapter 9,B,2,neither agree nor disagree,disagree
Chapter 9,B,2,agree,disagree
Chapter 9,B,2,agree,disagree
Chapter 9,B,3,agree,disagree
Chapter 9,B,3,agree,disagree strongly
Chapter 9,B,2,agree,neither agree nor disagree
Chapter 9,B,2,agree,neither agree nor disagree
Chapter 9,B,3,agree,neither agree nor disagree
Chapter 9,B,2,agree,disagree
Chapter 9,B,2,agree,disagree strongly
Chapter 9,B,2,neither agree nor disagree,disagree
Chapter 9,B,2,agree,disagree strongly
Chapter 9,B,2,agree,neither agree nor disagree
Chapter 9,B,2,agree,disagree
Chapter 9,B,1,neither agree nor disagree,neither agree nor disagree
Chapter 9,B,2,neither agree nor disagree,disagree
Chapter 9,B,2,neither agree nor disagree,disagree
Chapter 9,B,3,agree,disagree strongly
Chapter 9,B,2,agree,disagree
Chapter 9,B,1,neither agree nor disagree,agree
Chapter 9,B,3,agree,disagree
Chapter 9,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 9,B,2,agree,disagree
Chapter 9,B,2,neither agree nor disagree,disagree
Chapter 9,B,2,disagree,agree
Chapter 9,B,3,agree,disagree
Chapter 9,B,3,agree,disagree
Chapter 9,B,2,neither agree nor disagree,disagree
Chapter 9,B,2,agree,disagree
Chapter 9,B,2,neither agree nor disagree,disagree
Chapter 9,B,2,agree,disagree strongly
Chapter 9,B,3,agree,disagree
Chapter 9,B,2,agree,disagree
Chapter 9,B,2,disagree,neither agree nor disagree
Chapter 9,B,3,agree,disagree
Chapter 9,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 9,B,2,neither agree nor disagree,disagree
Chapter 10,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 10,A,3,agree strongly,disagree strongly
Chapter 10,A,2,agree,disagree strongly
Chapter 10,A,1,neither agree nor disagree,neither agree nor disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,2,neither agree nor disagree,disagree
Chapter 10,A,2,agree,neither agree nor disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,1,neither agree nor disagree,neither agree nor disagree
Chapter 10,A,1,disagree,neither agree nor disagree
Chapter 10,A,2,neither agree nor disagree,agree
Chapter 10,A,2,agree,neither agree nor disagree
Chapter 10,A,2,agree,neither agree nor disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,2,agree strongly,disagree strongly
Chapter 10,A,2,agree,disagree
Chapter 10,A,2,neither agree nor disagree,disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,1,neither agree nor disagree,neither agree nor disagree
Chapter 10,A,1,neither agree nor disagree,neither agree nor disagree
Chapter 10,A,0,disagree,neither agree nor disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,1,neither agree nor disagree,disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,1,disagree,agree
Chapter 10,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,3,agree,disagree
Chapter 10,A,2,disagree,disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,2,neither agree nor disagree,agree
Chapter 10,A,2,agree,disagree
Chapter 10,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 10,A,2,neither agree nor disagree,disagree
Chapter 10,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 10,A,2,agree,agree
Chapter 10,A,1,agree,neither agree nor disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,1,agree,neither agree nor disagree
Chapter 10,A,3,agree,disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,1,neither agree nor disagree,neither agree nor disagree
Chapter 10,A,1,neither agree nor disagree,neither agree nor disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,2,agree,disagree strongly
Chapter 10,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,2,agree,disagree
Chapter 10,A,3,agree strongly,disagree
Chapter 10,A,2,agree,disagree
Chapter 10,B,2,neither agree nor disagree,disagree
Chapter 10,B,2,agree,disagree
Chapter 10,B,2,agree,disagree
Chapter 10,B,3,agree,disagree
Chapter 10,B,3,agree,disagree
Chapter 10,B,2,agree,disagree
Chapter 10,B,2,agree,disagree
Chapter 10,B,2,neither agree nor disagree,agree
Chapter 10,B,2,agree,disagree
Chapter 10,B,2,disagree,neither agree nor disagree
Chapter 10,B,2,agree,disagree
Chapter 10,B,2,agree,disagree
Chapter 10,B,1,disagree,neither agree nor disagree
Chapter 10,B,3,agree strongly,disagree strongly
Chapter 10,B,2,neither agree nor disagree,disagree
Chapter 10,B,2,agree,neither agree nor disagree
Chapter 10,B,2,agree,neither agree nor disagree
Chapter 10,B,3,agree,neither agree nor disagree
Chapter 10,B,3,agree strongly,disagree
Chapter 10,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 10,B,2,agree,neither agree nor disagree
Chapter 10,B,3,agree,neither agree nor disagree
Chapter 10,B,1,agree,agree strongly
Chapter 10,B,2,agree,disagree
Chapter 10,B,2,disagree strongly,agree
Chapter 10,B,1,disagree,disagree
Chapter 10,B,2,neither agree nor disagree,disagree
Chapter 10,B,3,agree,disagree strongly
Chapter 10,B,2,agree,disagree
Chapter 10,B,2,agree,disagree
Chapter 10,B,3,agree,disagree
Chapter 10,B,3,agree,disagree
Chapter 10,B,1,disagree,neither agree nor disagree
Chapter 10,B,2,neither agree nor disagree,agree
Chapter 10,B,2,neither agree nor disagree,disagree
Chapter 10,B,2,agree,agree
Chapter 10,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 10,B,2,agree,disagree
Chapter 10,B,2,agree,disagree
Chapter 10,B,2,agree,disagree
Chapter 10,B,2,agree,disagree
Chapter 10,B,3,neither agree nor disagree,neither agree nor disagree
Chapter 10,B,2,agree,agree
Chapter 10,B,2,agree,disagree
Chapter 10,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 10,B,1,neither agree nor disagree,agree
Chapter 10,B,1,neither agree nor disagree,neither agree nor disagree
Chapter 10,B,2,agree,disagree
Chapter 10,B,2,agree,disagree strongly
Chapter 10,B,2,agree,disagree
Chapter 10,B,2,agree,agree
Chapter 10,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 10,B,3,agree,neither agree nor disagree
Chapter 11,A,3,agree,disagree
Chapter 11,A,2,agree,disagree
Chapter 11,A,2,neither agree nor disagree,disagree
Chapter 11,A,2,agree,disagree
Chapter 11,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 11,A,3,agree strongly,disagree strongly
Chapter 11,A,3,agree strongly,disagree strongly
Chapter 11,A,3,agree strongly,disagree strongly
Chapter 11,A,3,agree,disagree strongly
Chapter 11,A,2,neither agree nor disagree,disagree
Chapter 11,A,3,agree,disagree
Chapter 11,A,3,agree,disagree strongly
Chapter 11,A,1,disagree strongly,neither agree nor disagree
Chapter 11,A,1,disagree,disagree
Chapter 11,A,2,neither agree nor disagree,disagree
Chapter 11,A,2,agree,disagree
Chapter 11,A,1,neither agree nor disagree,disagree
Chapter 11,A,0,disagree strongly,disagree strongly
Chapter 11,A,3,agree,disagree
Chapter 11,A,2,agree,disagree
Chapter 11,A,2,agree,disagree
Chapter 11,A,1,neither agree nor disagree,disagree
Chapter 11,A,2,agree,disagree strongly
Chapter 11,A,2,neither agree nor disagree,disagree
Chapter 11,A,2,agree,disagree
Chapter 11,A,2,agree,disagree
Chapter 11,A,1,agree,disagree
Chapter 11,A,2,agree,disagree strongly
Chapter 11,A,2,agree,disagree
Chapter 11,A,2,neither agree nor disagree,disagree
Chapter 11,A,2,agree,disagree
Chapter 11,A,3,agree,disagree
Chapter 11,A,3,agree,disagree
Chapter 11,A,3,agree strongly,disagree strongly
Chapter 11,A,3,neither agree nor disagree,disagree
Chapter 11,A,2,agree,disagree
Chapter 11,A,2,agree,disagree
Chapter 11,A,2,disagree,disagree strongly
Chapter 11,A,2,disagree,disagree
Chapter 11,A,2,agree,disagree
Chapter 11,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 11,A,3,agree,disagree
Chapter 11,A,3,agree,disagree strongly
Chapter 11,A,2,agree strongly,disagree strongly
Chapter 11,A,3,agree strongly,disagree strongly
Chapter 11,A,2,agree,neither agree nor disagree
Chapter 11,A,2,agree,neither agree nor disagree
Chapter 11,A,2,agree,neither agree nor disagree
Chapter 11,A,3,agree strongly,disagree strongly
Chapter 11,A,2,neither agree nor disagree,disagree
Chapter 11,A,3,agree,disagree
Chapter 11,B,1,neither agree nor disagree,neither agree nor disagree
Chapter 11,B,2,agree,disagree
Chapter 11,B,2,agree,disagree
Chapter 11,B,2,agree,disagree
Chapter 11,B,2,neither agree nor disagree,disagree
Chapter 11,B,2,neither agree nor disagree,disagree
Chapter 11,B,1,agree,disagree
Chapter 11,B,2,disagree,neither agree nor disagree
Chapter 11,B,2,agree,disagree
Chapter 11,B,0,disagree strongly,disagree strongly
Chapter 11,B,2,disagree,disagree
Chapter 11,B,2,neither agree nor disagree,agree
Chapter 11,B,3,neither agree nor disagree,disagree
Chapter 11,B,2,agree,disagree
Chapter 11,B,1,agree,disagree
Chapter 11,B,2,agree,disagree
Chapter 11,B,2,agree,disagree
Chapter 11,B,2,agree strongly,neither agree nor disagree
Chapter 11,B,2,neither agree nor disagree,disagree
Chapter 11,B,2,agree,disagree
Chapter 11,B,2,agree,neither agree nor disagree
Chapter 11,B,2,agree strongly,disagree
Chapter 11,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 11,B,2,agree,disagree
Chapter 11,B,2,agree,disagree
Chapter 11,B,2,agree,disagree
Chapter 11,B,2,disagree,disagree
Chapter 11,B,2,agree,disagree
Chapter 11,B,2,neither agree nor disagree,disagree
Chapter 11,B,2,agree strongly,disagree
Chapter 11,B,2,agree,disagree
Chapter 11,B,2,agree,disagree
Chapter 11,B,2,agree,disagree
Chapter 11,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 11,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 11,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 11,B,2,neither agree nor disagree,disagree
Chapter 11,B,3,agree strongly,disagree strongly
Chapter 11,B,3,agree strongly,disagree strongly
Chapter 11,B,1,disagree,neither agree nor disagree
Chapter 11,B,2,neither agree nor disagree,disagree
Chapter 11,B,2,agree,neither agree nor disagree
Chapter 11,B,2,agree,agree
Chapter 11,B,2,agree,neither agree nor disagree
Chapter 11,B,2,neither agree nor disagree,disagree
Chapter 11,B,3,agree strongly,agree strongly
Chapter 11,B,3,agree strongly,disagree strongly
Chapter 11,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 11,B,2,agree,disagree
Chapter 11,B,3,agree,disagree
Chapter 11,B,3,agree,disagree
Chapter 11,B,2,neither agree nor disagree,disagree
Chapter 11,B,2,neither agree nor disagree,neither agree nor disagree
Chapter 11,B,2,agree,disagree
Chapter 12,A,3,agree,agree
Chapter 12,A,3,agree strongly,disagree strongly
Chapter 12,A,2,agree,neither agree nor disagree
Chapter 12,A,1,neither agree nor disagree,neither agree nor disagree
Chapter 12,A,2,agree,disagree
Chapter 12,A,3,agree,disagree
Chapter 12,A,3,agree strongly,disagree
Chapter 12,A,2,agree strongly,disagree strongly
Chapter 12,A,2,neither agree nor disagree,disagree
Chapter 12,A,3,agree strongly,disagree strongly
Chapter 12,A,1,neither agree nor disagree,neither agree nor disagree
Chapter 12,A,1,disagree,neither agree nor disagree
Chapter 12,A,3,agree strongly,disagree strongly
Chapter 12,A,3,agree strongly,disagree strongly
Chapter 12,A,1,neither agree nor disagree,disagree
Chapter 12,A,1,disagree,disagree
Chapter 12,A,2,agree,neither agree nor disagree
Chapter 12,A,2,agree,disagree
Chapter 12,A,3,agree,disagree
Chapter 12,A,2,agree,disagree
Chapter 12,A,3,agree,disagree
Chapter 12,A,3,neither agree nor disagree,disagree
Chapter 12,A,2,agree,disagree
Chapter 12,A,2,neither agree nor disagree,disagree
Chapter 12,A,2,neither agree nor disagree,disagree strongly
Chapter 12,A,2,disagree,disagree
Chapter 12,A,2,agree,disagree
Chapter 12,A,3,agree,disagree
Chapter 12,A,3,agree,disagree
Chapter 12,A,1,disagree,disagree
Chapter 12,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 12,A,3,agree,disagree
Chapter 12,A,2,agree,disagree
Chapter 12,A,2,neither agree nor disagree,disagree
Chapter 12,A,3,agree,disagree
Chapter 12,A,2,neither agree nor disagree,disagree
Chapter 12,A,2,agree,disagree
Chapter 12,A,3,neither agree nor disagree,disagree
Chapter 12,A,2,agree,disagree
Chapter 12,A,3,agree,disagree
Chapter 12,A,3,agree strongly,neither agree nor disagree
Chapter 12,A,2,agree,disagree
Chapter 12,A,3,agree,disagree
Chapter 12,A,3,agree,disagree
Chapter 12,A,2,neither agree nor disagree,disagree strongly
Chapter 12,A,2,agree,disagree
Chapter 12,A,1,neither agree nor disagree,agree
Chapter 12,A,2,agree,disagree
Chapter 12,A,3,agree,disagree
Chapter 12,A,1,neither agree nor disagree,disagree
Chapter 12,A,2,neither agree nor disagree,neither agree nor disagree
Chapter 12,A,2,agree,disagree
Chapter 12,A,2,agree,agree
Chapter 12,A,3,agree,disagree strongly
Chapter 12,A,2,neither agree nor disagree,disagree
